Sentiment,Processed_Text
positive,according deputy md pekka silvennoinen aim double turnover next three years
neutral,proposal shareholders elect mr. hannu krogerus board based long unrivalled experience knowledge matters related elcoteq
neutral,company 's board directors would propose dividend eur1 .00 per share 2005
neutral,said things different new finnish nuclear power stations go operation large hydro powered stations northern europe good year
negative,fair value change investment properties eur 15.8 mn compared eur 22.9 mn third quarter 2009
neutral,marimekko considering measures matter
neutral,twtr doomed 1 chart fb goog https //t.co/mpylireqjh https //t.co/nlczawdohp
neutral,n +1 group pay eur16 .5 transaction price upon closing remaining sum 2012
neutral,vehvilainen currently chief operating officer nokia siemens networks join finnair 5 january 2010 take ceo effective 1 february 2010
neutral,canned-preserved food finland report offers comprehensive guide size shape market national level
positive,economic occupancy rate sponda 's property portfolio rose 91.2 88.8 2006
neutral,value contracts eur 3.3 mn
positive,marketsshire 2.5 baxalta 6 32bn deal
neutral,finnish bank +àland launch long-term pension savings account beginning june 2010
neutral,alexandria va. nov. 5 -- risto kontturi rajamaki finland jari ylinen hyvinkaa finland developed automated transportation system user-controlled transport selection
neutral,believe however hkscan atria start use imported meat finnish consumers prefer domestic products
neutral,`` selling information systems development business finns
neutral,finnish suominen corporation makes wipes nonwovens flexible packaging expects changes market situation reduce sales suominen 's nonwovens wet wipes previously estimated volumes
neutral,rushydro agreement transfer stakes oesk five ercs trust management inter rao
neutral,"kaleva kustannus oy business id 0187274-0 according notice 10 august 2009 acquired 4,458,000 alma media shares"
neutral,glaston headquartered tampere finland growing international glass technology company
positive,mformation nokia noted established interoperability agreements cover commercially proven standards-based management mobile devices well mobile device security mobile application management
negative,buyback trending right cpix spending shares pricier hopefully pull back w 6.87 q2 closing vwap
neutral,company 's annual loss amounted eek 18mn compared profit eek 7.3 mn 2008
positive,original name componenta +àm+ñl subsidiary finnish componenta group changed +àm+ñl components company seen 63 growth q1 2010 comparison q1 2009
neutral,helsinki afx salcomp mobile phone charger manufacturer said appointed markku hangasjarvi new ceo following resignation mats eriksson
positive,navteq commanding lead installed map data systems north american vehicles may leader turn-by-turn navigation data offered services onstar north america said analyst phil magney telematics research group minnetonka minn.
neutral,companies evaluated report include aladdin ca f-secure kaspersky marshal mcafee microsoft panda proofpoint sophos symantec trend micro tumbleweed websense
neutral,around 50 percent world 's ro-ro fleet 25 years old needs scrapped environmental reasons
positive,first quarter 2010 mark-to-market result pretax profit eur 133 million versus loss eur 32 million period last year
neutral,"aldata solution oyj stock exchange release 11 august 2006 11.00 aldata shares subscribed 2003 stock options total 95,000 new shares aldata solution oyj subscribed company 's 2003a stock options"
neutral,insolvency act regulates amount debt borrowers permitted write
neutral,investment worth approximately eur 100mn
neutral,company presently examining whether project would financially feasible
positive,also lemmink+ñinen 's profit accounting period went eur 3.1 mn eur -24.5 mn year ago
neutral,start negotiations relating glaston 's efficiency program announced october
neutral,continued operations mean structure restructuring aspocomp group including aspocomp oulu headquarter operations
negative,earnings per share eps amounted loss eur0 .05
neutral,reasons behind estimate include rise 2008 rent levels several fully-leased office retail properties completed added company 's investment property portfolio
neutral,shares carry right dividend shareholder rights registration finnish trade register
negative,nflx say 's time short point
positive,2nd raise year `` bvhealthcare qcor questcor increases quarterly cash dividend 20 percent .. http //stks.co/goan ''
neutral,aviva shuts friends life head office rapid integration move
neutral,move triggered weak demand forestry equipment uncertain market situation
neutral,however orders received period review fell 17 quarter-on-quarter eur 213 million recorded second quarter 2010
neutral,division also includes joint sales marketing controlling functions units
neutral,"outotec 's delivery covers engineering supply construction circulating fluid bed calcination plant capacity 1,600 tons alumina per day"
neutral,result company temporarily lay-off 25 whole personnel approximately 270 persons kirkkonummi nivala factories
negative,result taxes decreased nearly eur 14.5 mn compared nearly eur 20mn previous accounting period
negative,majority company 's personnel finland temporarily laid one six weeks period february june 2009 period
negative,company reported today operating loss eur0 .1 net sales eur4 .5 first quarter 2008
neutral,gypsii mobile social networking application available china chinese english language support
neutral,qpr processguide available system solution centralized storage management process content well standalone desktop version qpr processguide xpress
negative,x marks recall tesla recalls modelx faulty 3rd row seat https //t.co/hsqdovry07 tsla https //t.co/4cs3cnzebb
neutral,2001 agreement expired earlier month
negative,loading spy aapl puts think toppy imho
positive,far mr. galvan able avoid laying workers
neutral,measures result statutory joint negotiations employees started february concerned operations country
neutral,negotiations started neste oil anticipated 450 people would affected
neutral,according arokarhu purchases scanned cash register computer disappeared total sum key pressed
positive,aapl double bottom could keep mind
neutral,f-secure internet security 2010 security service surfing web online banking shopping e-mail online activities
positive,orion pharma 's operating profit increased 42.5 2004
neutral,changes take effect 1 january 2010 estimated impact number employees
neutral,recruitment related relocation stora enso 's research operations karlstad central sweden
neutral,operating loss totaled eur 25mn compared profit eur 63mn corresponding period 2005
neutral,profitability ebit 13.6 compared 14.3 q2 2009
positive,new representation extends comptel 's global presence total 18 countries serving 250 customers 80 countries worldwide
neutral,elisa corporation disclose financial statements 2006 thursday 8 february 2007
positive,company makes garden tools scissors consumer goods said earnings boosted 6.9 mln eur income received 16.7 pct shareholding finnish engineering group wartsila
neutral,deliveries scheduled summer autumn 2008
positive,"lule+ñ municipality awarded yit 2-year contract property management one third municipality 's properties total area 140,000 sq metres"
positive,gsk novartis complete deals reshape drugmakers
neutral,expected online 2011
positive,legal general arm buys 50 pct stake mediacityuk manchester
neutral,quality chargers chargz brand sold selected retail stores sales locations world-wide
positive,passengers rise easyjet aer lingus
positive,operating profit rose eur 4.7 mn eur 4.6 mn
neutral,central europe important market area honka
neutral,total 78 million invested project
neutral,motorola accounted 11.5 percent south korean handset market end april samsung held 55 percent lg electronics 19 percent according korea-based atlas research group
negative,iff technical alerts stochastic sell signal 200 dma support 50 dma support http //stks.co/p12qy
neutral,basis competitive bidding ooo kitai stroi russian subsidiary china state construction engineering corporation construction company owned china state selected main constructor
negative,british american tobacco drops sues pwc pollution scandal
neutral,"group posted net sales 35.3 mln euro 46.5 mln operating profit 760,000 euro 1.0 mln 2005"
positive,clothing retail chain sepp+ñl+ñ 's sales increased 8 eur 155.2 mn operating profit rose eur 31.1 mn eur 17.1 mn 2004
neutral,facility consists seven year bullet term loan 200 mln euro 292.4 mln 150 mln euro 219.3 mln five year revolving credit facility
positive,`` terms profitability earnings 2007 best year history `` chief executive veli-matti mattila said
neutral,closing transaction took place today
negative,addition 29 employees laid notice whole workforce laid short periods needed
neutral,"annual report sent automatically shareholders holding least 2,000 sampo plc shares"
positive,upm-kymmene one world 's leading printing paper producers production 15 countries sales network covering 170 companies
positive,stable outlook reflects nokia 's strong market position global mobile handset market strong cash flow generation conservative balance sheet said raab
positive,nokia continue invest future development qt benefit users commercial lgpl
positive,hitk resuming advance new historical highs
positive,`` ntc geographical presence complements ramirent 's existing network brings us closer customers east bohemia region czechrepublic ``
neutral,metso global supplier sustainable technology services mining construction power generation automation recycling pulp paper industries
neutral,biohit oyj develops manufactures markets liquid handling products diagnostic test systems use research healthcare industrial laboratories
neutral,new chairman board directors mr chaim katzman give presentation answer questions
positive,viking line manages well current ferries
neutral,dialing participants quote 877417 conference id
neutral,objective st. petersburg office first boost company 's maintenance business
positive,operating profit totaled eur 17.7 mn compared eur 17.6 mn corresponding period 2007
negative,net sales period expected fall well last year result non-recurring items expected red
neutral,`` expensive water brand finland moment ``
neutral,france t+®l+®com spent time studying teliasonera potential takeover targets shareholder wants sell pellissier said
positive,brk.b spy time high tomorrow 150k shares dec 13 2007
negative,salonen added data shows producers pulp inventories north america declining
neutral,`` marimekko aims expand distribution network primarily increasing number concept stores shop-in-shops
negative,srv lowered net sales estimate whole 2008 due uncertainties housing sales
positive,awr standard poor 's affirms a+ credit rating american states water company golden state water company http //stks.co/f2p94
positive,according ceo kai telanne company 's newspapers achieved best financial result ever
positive,seat belt recall cares .... 'm buyer tsla
neutral,randgold profit hit poor gold price dividend still increases
neutral,adp news jan 22 2009 finnish mobile phones maker nokia oyj omx nok1v said today operating profit decreased eur 5 billion usd 6.5 bn 2008 eur 8 billion 2007
neutral,finnish raute precision supplies weighing dosing systems plants changing name lahti precision
negative,aapl resistance right ... sold shares ... buy back dips goes 128 gap zone
positive,eurochem head corporate finance alexander gavrilov said `` pleased confirmed eurochem able attract long-term funds attractive rates
negative,q1 2009 company 's result taxes continuing operations excluding non-recurring items totalled eur -0.4 mn compared eur -0.1 mn corresponding period 2008
positive,robust growth result inclusion clothing chain lindex group december 2007
positive,companiesdixons carphone close 134 uk stores sales jump
neutral,elcoteq dongguan established 1999 nancheng district dongguan china one elcoteq four volume manufacturing plants asia-pacific region
negative,measures result decreased demand technical design product information
negative,kraft cadbury 's britvic total recall pulling product affects profit
neutral,currency effect 3.0 pct 20 mln euro 31.3 mln negative impact revenue
negative,spy bull move ended waiting next setup
positive,analysts impressed progress tesla 's flagship factory co spent 1.6b upgrades '15 https //t.co/sabxcsn8cd tsrandall tsla
positive,isrg break confirmed bought leaps good trading
neutral,highest growth would china weakening demand would continue north america upm said
neutral,business line may 16 2008 sriperumbudur may 15 nokia 's two key suppliers aspocomp wintek likely start operations within three months nokia telecom park sriperumbudur 45 km west chennai
negative,optimistic amzn fundementals charts look like poopoo quarter
neutral,said losing five families month economy many make alternative arrangements save money
neutral,ship cranes manufactured macgregor 's partner plants china delivered 2008-2010 vessels ordered chinese cosco german peter dohle hong kong based cido shipping
positive,finnish fibers plastic products maker suominen corporation said net loss continuing operations narrowed 1.8 mln euro 2.3 mln 2006 3.7 mln euro 4.8 mln 2005
positive,ab inbev 's latest bid said unlikely win sabmiller 's approval
neutral,company 's equipment rental portfolio consists primarily tools small mid-sized customers construction industry
neutral,disappointment see plan folded
neutral,pretax loss totalled eur 49.9 mn compared loss eur 15.4 mn corresponding period 2008
positive,operating profit rose 22.1 mln eur 19.9 mln
negative,"1.33 pm omx helsinki 25 0.30 pct lower 2,463.67 omx helsinki 0.37 pct 8,537.42 volume 256 mln eur"
neutral,segment annual revenue approximately eur400m company said
positive,pleased fine co-operation two countries recent times said
neutral,cramo headquartered vantaa finland rents construction machinery equipment well rents sells modular space
positive,also strengthen existing partnership cybercom `` says teleste cto esko myllyla
neutral,20 march 2006 stora enso refused comment news way
positive,operating profit increased eur 14.0 mn eur 4.9 mn corresponding period 2005
positive,znga http //stks.co/3rdu looking test 9.25 resistance point cc cfrazierjr fletchtrade traders
positive,previously company anticipated operating profit improve period
neutral,swot analysis one method categorization weaknesses
positive,merrill lynch analyst campbell morgan upgraded recommendation paperlinx `` neutral `` `` buy `` may
neutral,coker crane supplied tesoro corporation 's golden eagle refinery martinez california similar crane delivered bp 's castell refinery spain
positive,group 's 12-month operating profit grew 31 percent 337.8 million euros
neutral,counter competitor 's strengths target weaknesses
negative,return capital employed roce negative 2.3 compared 11.3 2007
positive,lulu http //stks.co/o17i bounced support early week indicators turning rsi macd smi worth look
neutral,cargotec 's business areas also include container handling solutions business area kalmar marine cargo handling offshore load handling solutions business area macgregor
positive,`` continued actively focus r position offering away point solutions towards dynamic end-to-end solutions `` ervio stated
positive,aapl broken downtrend 200dma proving stiff resistance short term https //t.co/vlzlgvihzv
negative,2009 stora enso 's net loss eur 879.7 million compared eur 673.4 million previous year
neutral,nordic business report-17 january 2006-efore plc inaugurates new plant estonia -® 1998-2006 m2 communications ltd finnish power electronics manufacturer efore plc said tuesday 17 january inaugurating new plant parnu estonia
neutral,total value project estimated 3.0 mln euro 4.4 mln services 2.0 mln euro 2.9 mln third-party licences 1.0 mln euro 1.5 mln
negative,reed elsevier share price slides underwhelming full-year results
neutral,technopolis set aside plot land measuring 4.6 hectares build park mikkonen said
neutral,gypsii service supports ten different languages including korean russian
positive,company turned earnings per share eps eur 0.03 versus loss per share eur 0.01
neutral,company present hold shares
neutral,estimated value deal usd 9.2 million
neutral,future plant focus production flange profiles wind farm towers
negative,result transactions aggregate holdings burrill life sciences capital fund l.p. decreased 5 per cent total number shares votes company
positive,revenue july september grew 14 percent euro 467 million year earlier company said thursday
neutral,4 february 2011 finnish privacy security software developer tectia oyj hel tec1v said wednesday set two strategic business units managed security mobile authentication
neutral,sdm offers general rental equipment aluminium scaffolding power generator hoists customers construction sector
positive,tsla bad day short
positive,nokia controls 50 percent phone sales india africa strong prosition emerging markets
positive,cytx looks like ascending channel finfiz http //stks.co/f26r4
neutral,storengy gdf suez company dedicated underground storage natural gas
neutral,30 november 2009 finnish office furniture maker martela oyj hel maras said today make redundant three people nine laid permanently company 's office staff factory workers
neutral,panostaja owns 68.77 pct share capital voting rights suomen helasto shares following exchange shares carried may 30 2007
neutral,financial details transaction disclosed
positive,two companies also partner developing raiso 's cholesterol lowering brand benecol
positive,nugt gold 1400 ... wow
negative,diageo sales disappoint currency comparatives leave bitter taste
neutral,finnish m-real 's kyro mill starting negotiations cut staff
negative,london marketwatch -- share prices ended lower london monday rebound bank stocks failed offset broader weakness ftse 100
positive,shares bae systems hit 10-month high rating upgrade
neutral,capacity ease seikku sawmill pori alholma sawmill pietarsaari result 60 people laid around six weeks starting mid-may said
neutral,transaction expected finalized dec 2009
positive,aria bounce player long 6.17 http //stks.co/q0wff
neutral,board said company omitted tender substantial part works rightfully found non-responsive evaluation team
positive,finnish aktia group 's operating profit rose eur 17.5 mn first quarter 2010 eur 8.2 mn first quarter 2009
neutral,operators need learn use one device multiple levels applications including voice-directed operations
positive,rival companies gwr watco eyeing ra w take-over interest http //stks.co/o0xy
positive,net interest income eur 152.2 mn eur 101.0 mn 2008
negative,however orders received period review fell 17 quarter-on-quarter eur 213 million recorded second quarter 2010
neutral,net sales fell 33 third quarter 2008 eur 130.5 mn
negative,july-september 2009 konecranes sales decreased eur 368.7 mn eur 520.4 mn july-september 2008
negative,result also burdened increased fixed costs associated operations china restructuring costs japan
neutral,cencorp 's net sales first quarter estimated eur0.9-1 .2 compared eur4 .5 first quarter 2008
neutral,finland bank +àland reports operating profit fell eur 6.1 mn second quarter 2008 eur 7.5 mn second quarter 2007
neutral,"cargotec 's share capital increase totals eur 64,299,180"
positive,sophos aims raise 100m london ipo
positive,`` new structure provides better communication faster decision-making cost savings `` proha said
neutral,"718,430 new series shares become subject trading helsinki stock exchange 's main list together old series shares july 3 2006"
positive,21 october 2010 finnish fishing tackle company rapala vmc corp hel rap1v said today net profit rose eur18 .9 first nine months 2010 eur15 .1 period year earlier
neutral,remainder revenues come technology agreements firms interdigital said
neutral,tyrvaan sanomat published twice week tyrvaan sanomat oy appears sastamala kiikoinen
positive,cargotec corporation press release april 28 2008 2.00 p.m. finnish time cargotec 's macgregor business area providing marine cargo handling offshore load handling solutions received significant hatch cover orders bulk carriers
neutral,juha haapakoski continue editor-in-chief budget responsibility also new publisher
neutral,nordstjernan used option buy another 22.4 stake salcomp 's shares votes
neutral,net sales healthcare trade business 2009 eur 145.1 million eur 155.2 million operating profit eur 8.9 million eur 7.9 million
positive,tower chose add due go operation summer increase total capacity 80 broadsheet 160 tabloid pages ability run 32 48-page products side side
negative,scanfil systems supplier contract manufacturer communications sector start personnel negotiations oulu finland lay staff temporarily
neutral,operating profit decreased eur 16mn eur 21.1 mn 2008
neutral,pcs digital guatemala using tecnomen 's prepaid system telgua fixed networks well code division multiple access cdma global system mobile communication gsm since 2003
neutral,company disclose details including anticipated transaction timetable name new investor within one week
positive,`` number collection errors fell considerably operations speeded
neutral,insurer old mutual picks standard bank 's hemphill new ceo
positive,broker tips rbs croda sage
positive,operating profit eur 0.6 mn loss eur 19mn year earlier
neutral,reductions implemented immediately beginning october 2009
positive,ebay nice breakout recent consolidation congrats http //stks.co/2tad
negative,company plans close two three lines plant 450 jobs threat
neutral,contract includes heating plant equipment associated installation work
positive,kinder morgan bp form joint venture limited liability company purchase ...
negative,qualcomm estimated first-quarter profit 46 50 cents share excluding certain items analyst estimate 61 cents share
positive,"neste oil corp. signed long-term procurement contracts honkajoki oy findest protein oy owned finnish food manufacturers supply animal fat biodiesel production neste 's 200,000 b-cd porvoo finland refinery"
neutral,total investment 2006 2007 expected amount eur75m
neutral,mursula said tried gather macro-economic perspective see malaysia
neutral,presentation material viewed company 's website english conference
positive,finnish metso paper order supply uncoated fine paper machine mcc paper yinhe china
neutral,completed 120-meter watchtower highest building ireland
neutral,galeria podlaska shopping mall wysockiego street bia ystok approximately 60-percent leased reserved
neutral,product 's front-edge folding maximizes weather resilience enables seamless roof finish
positive,intuitive surgical isrg great financial position take look https //t.co/vahhjacbfg https //t.co/24hqtqx4ou
neutral,dragonfly love another video shot start finish using nokia n8
neutral,new apartment block going close city center explained chairman board yit ehitus priit sauk
neutral,25 march 2011 finnish electronics contract manufacturer scanfil oyj hel scf1v said today plan merge wholly owned scanfil ems group ojala-yhtyma oy hit snag shareholders domestic rival rejected deal
positive,refile-hikma barclays help britain 's ftse climb higher
neutral,finnish stockmann group 's mail order unit hobby hall launched trial marketing campaign russia
positive,utsi http //stks.co/15ur long setup reported good earnings
neutral,"quartal oy owns 2,094,063 shares satama interactive plc represents 5,19 per cent share capital voting rights"
positive,demand brisk expected order levels remained high
negative,adpnews sep 28 2009 finnish silicon wafers maker okmetic oyj hel okm1v said reduce number clerical workers 22 worldwide result personnel negotiations completed today
neutral,pretax profit decreased 37 eur 193.1 mn eur 305.6 mn
positive,company 's order book stood 1.5 bln euro 2.2 bln september 30 2007 24.2 pct year international orders amounting 365 mln euro 534.3 mln
negative,comparable operating profit quarter decreased eur510m sales increased eur860m compared third quarter 2007
neutral,barclays poised replace sir mike rake heads exit
negative,sales unit slumped last year industry hit poor snowfall major resorts winter 2006-07
neutral,barclays appoints jpmorgan 's paul compton new coo
positive,aapl bounces support seems
neutral,operating profit fell eur 38.1 mn eur 55.3 mn 2007
neutral,estonian parliament set vote amendments excise duty law wednesday would add 0.42 kroons price liter diesel 0.45 kroons price liter gasoline start 2010
positive,elcoteq proven track record electronics manufacturing services ems global factory network coupled modern manufacturing equipment consistent systems processes
positive,mtd mettler-toledo ready breakout
neutral,hsbc shakes board two new business chiefs three departures
neutral,inventors ridge justin bao yiliang karczewicz marta
neutral,one also apply jobs directly ipad select cv attach covering letter appropriate position
neutral,way industry 's starting point consumers needs
neutral,"prosecutor also demanding outokumpu pay fine eur 800,000"
neutral,2008 generated net sales eur 9.3 million usd 13.1
neutral,published globes online israel business news www.globes-online.com november 16 2009 -® copyright globes publisher itonut 1983 ltd. 2009
neutral,eur17m contract includes design construction works
negative,aapl beat estimates still go lack new products https //t.co/sx3z7u6n8o
neutral,delhaize le lion selected aldata g.o.l.d vocal pda solution motorola wt4090 pda terminal
neutral,baltimore police fire pension 1.5 billion lost 3.5 million madoff ponzi scheme
positive,according company operating profit excluding non-recurring items fourth quarter 2009 significantly better expected also better figures fourth quarter 2008
neutral,new units built cargotec 's state art manufacturing facility san antonio texas usa started operations 2009
neutral,operating loss totalled eur 4.0 mn compared profit eur 8.6 mn second quarter 2008
positive,29 september 2010 finnish waste management recycling company lassila tikanoja expands operations russia introducing recently completed recycling plant city dubna near moscow
positive,biohit already services many current genesis customers customer base expected expand result agreement
positive,update cib legal general sell egyptian life joint venture axa
negative,`` operating profit declined mainly due increased cost wood recycled fiber strengthened euro ``
neutral,done domestically neighboring markets organically acquisitions
positive,news feedftse 100 movers ashtead jumps strong interims glencore bp ...
neutral,elite residence tower new development tameer located heart dubai marina
positive,stocktwits kbkiwi tsla tesla model sales exceed target profitability guidance amended upward http //stks.co/jq0w '' ''
neutral,tesco sells half stake ecommerce site lazada alibaba â£90m
negative,top us commerce department published worse-than-expected construction spending figures november
neutral,baltic pearl cjsc subsidiary shanghai foreign joint investment company developing project st petersburg comprising million square meters residential space two hospitals several schools nurseries
negative,also upset machinery work taken poland
neutral,approval shareholders cencorp accordance finnish law
positive,company said supply wcdma 3g-hspa radio network including modular high capacity nokia flexi wcdma base station east java bali sumatra batam
positive,rsh looking first profitable quarter 3 years long strong
negative,mflx pre mkt looks like gap filled .... lookin 4 short opt
positive,finnish forest machinery manufacturer ponsse agreed volvo start cooperation latin america
positive,"4 february 2011 finnish broadband data communication systems provider teleste oyj hel tlt1v saw net profit jump eur2 .1 last quarter 2010 eur995 ,000 period 2009"
neutral,route helsinki finland tallinn estonia cargo volumes increased 36 cargo volumes finland sweden fell 9
positive,irish said chasing standard chartered rbs brexit vote nears
neutral,helsinki october 22 2008 ssh communications security corp board directors information please contact tomi laamanen chairman tel +358 0 400 609 544 distribution nasdaq omx helsinki ltd.
positive,yoku high volume blast friday goes higher http //stks.co/qsal
neutral,kemira headquartered helsinki finland international chemicals group comprising business areas kemira pulp paper kemira water kemira specialty kemira coatings
neutral,chic cheerful finnish design house marimekko sending geometric textiles world past 60 years
positive,recovery demand started toward end 2009 continued january-march 2010
neutral,comparable operating profit decreased eur 13.8 mn eur 17.1 mn corresponding period 2005
neutral,guangdong october 26 sinocast -- nokia telecommunications dongguan branch entered letter intent open nokia class qingyuan polytechnic qingyuan city guangdong province
neutral,company give palm oil altogether however
neutral,2007 group 's net sales stood eur 22 million 150 employees end june 2008
neutral,`` marimekko operates industry changes business climate reflected consumer demand
neutral,u.s. debt lures schroders ecb depresses rates
neutral,outotec currently delivering new oil shale processing plant eesti energia estonia based enefit technology developed jointly eesti energia outotec
positive,eps outlook increased 5.6 pct 2007 7.0 pct 2008
neutral,company 410 employees annual turnover eur65 .4 m. vaahto group listed nordic exchange helsinki
positive,dpz broke bull flag channel make new highs volume poor
negative,amzn rejected 604 penny weak open goes r/g within first 30 mins could 8-10 points https //t.co/58teaexxpe
positive,bbby stock options trade would doubled money https //t.co/oa0loirijl via thestreet
negative,pretax loss totaled eur 1.2 mn profit eur 2.1 mn 2004
positive,tesla model deliveries 35 germany record deliveries march chart https //t.co/ycnclcbimv tsla
positive,operating profit asian plants grew markedly
negative,"prosecutor also demanding outokumpu pay fine eur 800,000"
negative,"konecranes previously communicated estimated reduction 1,600 employees group level 2009"
neutral,oulu plant employs approximately 120 people
neutral,9:00 eet alma media 's annual report 2009 scheduled published calendar week 9
neutral,scopi chief business excellence officer eng
neutral,"share capital basware corporation 11,720,829"
positive,new morrisons duo get former boss 's support diffuse investor tension
neutral,order also includes start-up commissioning services
positive,`` upm 's deliveries increased third quarter 4 percent efficiency operations improved `` chief executive jussi pesonen said
positive,outokumpu 's chief executive juha rantanen expressed confidence china market
neutral,mr k.r vasantha appointed managing director incap contract manufacturing services pvt ltd.
neutral,company charge natural gas storage activities france great britain germany
neutral,solution extension existing online mediation solution delivered earlier comptel ibm
neutral,u.s. federal government putting stake ground vendors customers focused meeting deadline
positive,finnish construction company yit corporation planning build 200 high-quality holiday homes near tahko ski spa resort finland
neutral,operating profit totaled eur 6.7 mn eur 7.2 mn corresponding period 2005
positive,third order awarded outokumpu technology shalkiya zinc kazakhstan shalkiya zinc-lead project kazakhstan
neutral,june sold 30 percent stake nordstjernan investment group taken option acquire eqt 's remaining shares
positive,"tiimari latvian representative ineta zaharova said company earned lvl 122,000 2005 profit 20 times 2004"
negative,operating profit fell eur 35.4 mn eur 68.8 mn 2007 including vessel sales gain eur 12.3 mn
negative,smh got sell signal 6/4 needs take 39.28 go higher otherwise headed lower 37.60 gap 35.38
neutral,negotiations concern 246 salaried senior salaried employees scheduled completed six weeks
negative,production liquidated june 2009 325 employees loose jobs
neutral,adp news may 29 2009 bank america bofa downgraded today ratings swedish-finnish paper maker stora enso oyj hel sterv finnish sector player upm-kymmene oyj hel upm1v `` underperf
negative,deutsche bank downgrades starbucks new loyalty program https //t.co/iy4lcugabc sbux
neutral,operating profit excluding non-recurring items totalled eur 1.0 mn eur 1.6 mn
neutral,company said offshore segment represented 43 total marine engines orders july-september 2010 period merchant 33 special vessels 18 cruise ferry ship design -- 2 3 respectively
neutral,finnish vaahto group provides paper-making technology process machinery starting negotiations concerning temporary lay-offs 140 employees company 's plants hollola tampere finland
negative,according finnish petrol station chain st1 's managing director kim wiio company forced make purchases rising prices first half 2008 consumer prices going almost daily due competition
neutral,filter used pre-process packets determine need processed processor network device
neutral,altona stated private company altona chairman kevin maloney tulla resources would take entitlement full
positive,however net sales 2010 seen grown eur598 .3 eur582 .3 2009
positive,dutch broker noted nokian tyres reported good first quarter 2006 line consensus
neutral,"okhta center area expected 700,000 square metres office premises 2016"
positive,operating profit improved eur 20.3 mn eur 11.4 mn
negative,stores 16 march 2010 finnish stationery gift retailer tiimari hel tii1v said yesterday cut total 28 jobs units tiimari retail ltd gallerix finland ltd result closure shops
neutral,transaction expected completed next spring
neutral,company expects net sales whole 2009 remain 2008 level
positive,operating profit net sales 12-month period increased respectively eur21 .5 eur196 .1 compared 2005
neutral,company serves customers various industries including process resources industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy information technology well catering households
neutral,customers wide range industries use stainless steel services worldwide
neutral,"total number voting rights 74,612,523"
neutral,mr bakman sees also expansion options tallinn-helisnki link claiming however operating link single ship enough
positive,zagg getting ready ... target 15 plus close 13.50 better avg daily volume http //chart.ly/lha44tn
negative,finnish national carrier said net loss april june euro26 million net profit euro13 million year earlier
negative,eu commission said earlier fined thyssenkrupp united technologies corp 's otis schindler ag kone oyj total 992.3 mln eur alleged cartel activity lift market going back twelve years
neutral,recently company decided build second identical plant site due commissioned toward end 2008
negative,vnoto74 follow sell signal ndx internals 06/23 technical sell qqq 06/25
neutral,talentum 's net sales september smaller expected
positive,india 's trade russia currently stands four billion dollars growing 9.6 per cent fiscal 2007
neutral,eu law issue may introduced around 2010
positive,bioc rsi extremely long 's favor looking bioc historically
positive,consolidated operating profit excluding one-off items eur 30.6 mn eur 29.6 mn year earlier
neutral,broad range connectivity options including 3g hspa wi-fi gives consumers high speed access internet
neutral,seven-month sales ragutis controlled finnish brewery olvi declined 11.2 percent 15.41 million liters company held 9.89 percent market
neutral,product portfolio comprises harvesters forwarders harvester heads well cranes loaders
positive,yhoo break 5-min ...
neutral,digia also set two subsidiaries digia norway digia usa inc.
neutral,contract also includes cutting edging wagon parts ruukki 's steel service centres seinajoki raahe delivered vr welding assembly
negative,ab inbev attacks sabmiller bid rebuffal
positive,efficiency improvement measures 20 january 2010 finnish stationery gift retailer tiimari hel tii1v said today continue improve operational efficiency focusing profitable core operations
neutral,operates three distinct brands united supermarkets market street united supermercado
negative,earnings per share eps amounted loss eur0 .06
neutral,business gross written premiums eur152 .4 91.5 2000 net combined ratio 133 175 staff total offices uk germany benelux
neutral,alexandria va. may 23 -- matti harkonen pentti sipponen espoo finland osmo suovaniemi helsinki finland tapani tiusanen vantaa finland developed paper web press device
neutral,customers wave cards front reader make payments similar `` touch go `` cards used transport systems
positive,bbry nice bounce
neutral,"however march 2009 government st. petersburg passed front part building area 1,900 square metres land plot hotel worth usd 10-15mn company delta"
neutral,pharmaceutical market belgium global research data services published recently market analysis pharmaceutical markets belgium
positive,marimekko group 's full-year net sales estimated increase 10
neutral,last position nokia siemens networks head business human resources nsn global
neutral,wellness services important future
neutral,teleste expects start deliveries end 2009
neutral,total eur73 .7 provided secured senior three-year debt syndicate involving pohjola bank hel poh1s finnish arm nordea bank ab sto nda sampo bank hel samas
neutral,reported june 26 `` circuits continued alternately report track vacant occupied almost constantly june 17 part track signaling device replaced time crash according metro source ``
positive,jnk http //stks.co/2fcm want go ... risk appetite still high
neutral,product coverage baked goods biscuits breakfast cereals data coverage market sizes historic forecasts company shares brand shares distribution data
neutral,closing transaction took place today
negative,astrazeneca diabetes drug combination faces delay fda rebuff
neutral,major part deliveries include different ac cxe amplifier solutions products belgian dinh telecom broadband solutions company acquired teleste spring 2007
neutral,"following registration share capital biotie eur 52,556,678.10"
neutral,meanwhile alfa owns 25.1 megafon altimo 4.99 turkcell via 18.5 stake cukurova holding
negative,scanfil issued profit warning 10 april 2006
positive,borrower happy roadshow paid hit ratio high
neutral,contract also includes cutting edging wagon parts ruukki 's steel service centres seinajoki raahe southwestern finland delivered vr welding assembly
